1;2;3;4;5;6;7;8;9;;;;;;;
;;madera;Pino, ? =450 kg/m³;Pino;450;0,12;1600;50;20;;;;;;
;;madera;Pino, ? =500 kg/m³;Pino;500;0,13;1600;50;20;;;;;;
;;madera;Pino, ? =700 kg/m³;Pino;700;0,18;1600;200;50;;;;;;
;;;---Tableros de madera---;;;;;;;;;;;;
;;Tableros de madera;Contrachapada, ? =300 kg/m³;Contrachapada;300;0,09;1600;150;50;;;;;;
;;Tableros de madera;Contrachapada, ? =500 kg/m³;Contrachapada;500;0,13;1600;200;70;;;;;;
;;Tableros de madera;Contrachapada, ? =700 kg/m³;Contrachapada;700;0,17;1600;220;90;;;;;;
;;Tableros de madera;Contrachapada, ? =1000 kg/m³;Contrachapada;1000;0,24;1600;250;110;;;;;;
;;Tableros de madera;partículas aglomeradas con cemento, ? =1200 kg/m³;partículas aglomeradas con cemento;1200;0,23;1500;50;30;;;;;;
;;Tableros de madera;aglomerada, ? =300 kg/m³;aglomerada;300;0,10;1700;50;10;;;;;;
;;Tableros de madera;aglomerada, ? =600 kg/m³;aglomerada;600;0,14;1700;50;15;;;;;;
;;Tableros de madera;aglomerada, ? =900 kg/m³;aglomerada;900;0,18;1700;50;20;;;;;;
;;Tableros de madera;OSB, ? =650 kg/m³;OSB;650;0,13;1700;50;30;;;;;;
